P09651	2
Q9Y676	2
Q15287	2
P30101	2
Q9Y4E8	2
Q92837	2
Q9NS23	2
P51617	2
P61073	2
O43157	2
Q96C90	2
Q07954	2
P49715	2
Q9UNZ2	2
Q14749	2
P30307	2
Q99996	2
P53779	2
O14746	2
P49802	2
Q16620	2
P05093	2
P46013	2
O14920	2
P27540	2
P60484	2
O60674	2
Q8N5S9	2
O43293	2
Q15398	2
O14974	2
P11362	2
Q07812	2
Q14739	2
P78371	2
P50402	2
O60716	2
Q00613	2
Q14807	2
Q8IW41	2
Q16559	2
P54296	2
P53671	2
P23443	2
Q7L7L0	2
P20265	2
P78545	2
P09874	2
Q15648	2
P35869	2
Q92769	2
Q6Y7W6	2
Q15349	2
P54646	2
Q15813	2
Q9Y2X7	2
P16885	2
Q9HAT8	2
P25098	2
P49760	2
P20700	2
P16615	2
P26651	2
P60880	2
P12755	2
O60237	2
Q14839	2
Q13541	2
Q9NQS7	2
P10415	2
Q13255	2
O15169	2
P43351	2
P51452	2
P42574	2
Q04721	2
P29353	2
Q08493	2
P21730	2
P62826	2
Q16236	2
Q9UQE7	2
Q9NYB0	2
Q96LC9	2
P01116	2
Q15075	2
P01892	2
Q9UH99	2
P12268	2
P27824	2
Q13043	2
Q9Y6D6	2
P20823	2
Q9H9Q4	2
P53355	2
P16410	2
P42681	2
P15498	2
Q9UJU6	2
P51692	2
P16284	2
P05198	2
P49407	2
Q9UNN4	2
O43255	2
Q13586	2
P05455	2
Q9H0H5	2
O15511	2
P35968	2
Q02750	2
Q15637	2
P52333	2
Q15835	2
P35232	2
Q7RTN6	2
Q9BXW9	2
Q9UMD9	2
Q86YN6	2
Q6PKG0	2
Q9Y2I7	2
Q8NHY2	2
P48200	2
Q00610	2
P01889	2
P15976	2
Q06124	2
P52564	2
P42575	2
P20749	2
Q92918	2
Q9BZL6	2
Q13094	2
P17542	2
P30622	2
Q9BY44	2
O15264	2
P23528	2
Q13242	2
Q92598	2
P31943	2
P14317	2
P13693	2
P45985	2
Q8N680	2
P14859	2
Q15019	2
Q92597	2
Q9Y6H5	2
P10721	2
P18206	2
P52565	2
Q14451	2
Q9H063	2
Q7Z6J0	2
Q04912	2
Q9Y5P4	2
O76074	2
P13612	2
P51812	2
Q13131	2
Q9UKW4	2
P49959	2
Q9BWW4	2
Q9H910	2
O15151	2
P48436	2
Q9Y5B0	2
Q9NZN8	2
Q04637	2
Q13370	2
Q15438	2
Q9UQ80	2
Q8WUM4	2
Q86WV6	2
Q14738	2
Q8WWM7	2
P16403	2
Q02447	2
Q9UQM7	2
Q9UBK2	2
Q05655	2
P62324	2
P29350	2
Q8IU85	2
P35398	2
P17405	2
P51114	2
P24385	2
P68366	2
O00763	2
Q14814	2
Q13261	2
Q96R06	2
P49795	2
P35251	2
P35637	2
Q9H492	2
P61586	2
